ThumbNr,ch_1_Area,ch_1_Eccentricity,ch_1_Perimeter,ch_1_MeanIntensity,ch_1_MaxIntensity,ch_1_StandardDeviation,ch_1_Mass,ch_1_P2A,ch_2_Area,ch_2_Eccentricity,ch_2_Perimeter,ch_2_MeanIntensity,ch_2_MaxIntensity,ch_2_StandardDeviation,ch_2_Mass,ch_2_P2A,ch_3_Area,ch_3_Eccentricity,ch_3_Perimeter,ch_3_MeanIntensity,ch_3_MaxIntensity,ch_3_StandardDeviation,ch_3_Mass,ch_3_P2A,ch_4_Area,ch_4_Eccentricity,ch_4_Perimeter,ch_4_MeanIntensity,ch_4_MaxIntensity,ch_4_StandardDeviation,ch_4_Mass,ch_4_P2A,Overlay_ch_1_ch_1,Overlay_ch_2_ch_1,Overlay_ch_2_ch_2,Overlay_ch_3_ch_1,Overlay_ch_3_ch_2,Overlay_ch_3_ch_3,Overlay_ch_4_ch_1,Overlay_ch_4_ch_2,Overlay_ch_4_ch_3,Overlay_ch_4_ch_4
1,0,0,0,NaN,NaN,NaN,0,NaN,202,0.563381575785252,49.034,552.371287128713,1213,300.977190863736,111579,0.947181947072121,269,0.767915689145032,60.157,470.498141263941,907,196.545342923434,126564,1.0705579874886,20,0.524052177893898,14.026,23.6,34,5.21536192416212,472,0.782758530833098,0,0,202,0,95,269,0,0,20,20
2,0,0,0,NaN,NaN,NaN,0,NaN,317,0.907473982630526,39.118,547.709779179811,1192,267.981102321662,173624,0.384135247022742,490,0.534191731923845,75.664,3202.84897959184,4041,1091.19037346098,1569396,0.929763834695564,121,0.817971000179992,25.836,35.702479338843,60,7.11646521350215,4320,0.43899069754869,0,0,317,0,143,490,0,68,121,121
3,0,0,0,NaN,NaN,NaN,0,NaN,194,0.611877348637252,48.323,169.025773195876,284,66.7116939486826,32791,0.957847087204067,501,0.537807255751013,77.037,1674.44111776447,4040,1051.37985477464,838895,0.942651437465771,273,0.467528547347883,58.313,24.4468864468864,42,6.63421386292076,6674,0.991193074149334,0,0,194,0,194,501,0,163,273,273
4,0,0,0,NaN,NaN,NaN,0,NaN,245,0.552560396375607,54.972,328.024489795918,751,181.047451585657,80366,0.981538021236195,402,0.45174088064169,68.742,2120.79104477612,4043,1184.02969781426,852558,0.935423787880972,270,0.642358602435035,58.321,866.577777777778,1776,346.534794525174,233976,1.00248133612333,0,0,245,0,238,402,0,240,255,270
5,0,0,0,NaN,NaN,NaN,0,NaN,181,0.56152082626598,46.71,1898.60773480663,3314,653.371160253459,343648,0.959248868707254,334,0.657381216614516,63.457,418.47005988024,1018,169.604833071459,139769,0.95940668924485,0,0,0,NaN,NaN,NaN,0,NaN,0,0,181,0,180,334,0,0,0,0
6,0,0,0,NaN,NaN,NaN,0,NaN,154,0.337002455522543,41.177,911.298701298701,1713,394.134198469926,140340,0.876150715411441,347,0.349978434328452,63.284,2678.87031700288,4039,1395.29568536841,929568,0.918435167747007,0,0,0,NaN,NaN,NaN,0,NaN,0,0,154,0,154,347,0,0,0,0
7,0,0,0,NaN,NaN,NaN,0,NaN,104,0.586679833889928,35.636,1832.23076923077,2805,532.229351079832,190552,0.97170558121098,221,0.428994954508285,50.44,1011.99095022624,2052,489.235916236647,223650,0.916110831725711,11,0.781582173964938,9.643,18,22,5.54977477020464,198,0.672700552447978,0,0,104,0,104,221,0,10,11,11
8,0,0,0,NaN,NaN,NaN,0,NaN,135,0.654765778516526,38.754,761.718518518519,1327,343.493393272228,102832,0.885297906723191,527,0.54870302498552,79.485,2907.51043643264,4001,1385.32458873205,1532258,0.954003302037134,372,0.542633024668164,69.114,59.5510752688172,106,13.7433178636993,22153,1.02183142204688,0,0,135,0,135,527,0,134,372,372
9,0,0,0,NaN,NaN,NaN,0,NaN,187,0.538314396302645,46.247,551.197860962567,1154,270.635886794797,103074,0.910155632067363,308,0.61581315906827,61.042,2413.24350649351,4028,1290.48949218369,743279,0.962713204419911,84,0.366584684123257,30.451,97.1190476190476,167,30.0891866106293,8158,0.878443772722335,0,0,187,0,186,308,0,75,84,84
10,0,0,0,NaN,NaN,NaN,0,NaN,165,0.733178961530704,44.146,494.181818181818,930,212.207108703924,81540,0.939915712368246,672,0.486627789409606,90.824,2969.42857142857,3982,1388.75701995135,1995456,0.976837025736892,40,0.840029195140612,21.428,28.175,39,5.20299469980067,1127,0.913468172495513,0,0,165,0,165,672,0,19,40,40
11,219,0.660014745066099,53.177,37.0502283105023,59,8.23408876789312,8114,1.02752805103342,132,0.456025771679287,37.894,1271.10606060606,2250,517.860104566783,167786,0.865679446470034,1393,0.854402992813727,146.002,2347.85068198134,4005,1575.17898612199,3270556,1.2177457695873,301,0.825332654253272,63.176,31.2923588039867,56,8.02501763762323,9419,1.05518325437418,219,130,132,219,132,1393,213,132,301,301
12,0,0,0,NaN,NaN,NaN,0,NaN,308,0.966983175225478,40.251,959.12012987013,2573,570.60473251289,295409,0.418593777800142,743,0.677001179024015,98.878,2697.40511440108,3989,1498.54992220942,2004172,1.04713016103668,145,0.52783014695603,41.425,37.2620689655172,56,6.45284249344509,5403,0.941775022295947,0,0,308,0,166,743,0,91,145,145
13,0,0,0,NaN,NaN,NaN,0,NaN,173,0.293868604711783,43.642,1103.68208092486,2040,501.597480118033,190937,0.876099278707713,476,0.458154981045437,74.804,2943.00630252101,4017,1371.11493700802,1400871,0.935476379896327,123,0.577348104362944,37.803,26.3333333333333,41,5.37704085032009,3239,0.924565230328908,0,0,173,0,173,476,0,122,123,123
14,140,0.325934820572412,39.399,36.7857142857143,55,6.15715728376827,5150,0.88233295074205,172,0.340651247528606,43.526,1284.4476744186,2436,634.358240557322,220925,0.87651470097574,553,0.593130813281591,81.47,2604.07233273056,3992,1520.08028910917,1440052,0.955125493960101,137,0.608892580809177,39.771,37.1605839416058,57,6.19206510339969,5091,0.918761082605692,140,126,172,140,172,553,118,134,137,137
15,0,0,0,NaN,NaN,NaN,0,NaN,152,0.67707568273676,42.401,499.796052631579,901,183.496552065909,75969,0.941236470365838,412,0.299889743382202,69.47,1956.94174757282,4041,1498.31781311726,806260,0.932153678393669,30,0.784669112946222,17.235,19.5666666666667,29,4.38400960650009,587,0.787936931343237,0,0,152,0,152,412,0,27,30,30
16,0,0,0,NaN,NaN,NaN,0,NaN,137,0.441886480772455,38.638,481.824817518248,738,139.732775314917,66010,0.867159218138659,464,0.464429452032988,73.985,2499.3900862069,4037,1528.88541425547,1159717,0.938770668326958,0,0,0,NaN,NaN,NaN,0,NaN,0,0,137,0,137,464,0,0,0,0
17,0,0,0,NaN,NaN,NaN,0,NaN,173,0.30137850735837,44.262,567.242774566474,969,208.352532807117,98133,0.901168702964594,449,0.378481997551119,72.29,2375.97772828508,4021,1498.75162618857,1066814,0.926190334457257,22,0.754337305898901,14.514,26.5,34,4.23983377931146,583,0.761976701962163,0,0,173,0,173,449,0,22,22,22
18,0,0,0,NaN,NaN,NaN,0,NaN,201,0.580479487714628,47.934,597.363184079602,929,206.936614541291,120070,0.9096648667742,323,0.406020190672228,61.431,809.566563467492,2259,475.963955910247,261490,0.929742713999976,34,0.651574292470301,18.641,22.7058823529412,33,4.20338544483622,772,0.813297864275518,0,0,201,0,201,323,0,32,34,34
19,0,0,0,NaN,NaN,NaN,0,NaN,158,0.372008178856408,41.682,621.613924050633,1019,218.139402769318,98215,0.875044516324993,434,0.470692639430456,70.95,2137.52995391705,4023,1594.06654877337,927688,0.923007449213882,137,0.731901656912159,41.152,27.3722627737226,43,5.73304058951535,3750,0.983674611912331,0,0,158,0,158,434,0,131,137,137
20,19,0.825562340520773,14.233,103.736842105263,193,35.838902056073,1971,0.848456212038119,644,0.843530690575033,59.115,1182.4347826087,2341,442.599995749824,761488,0.431816921044074,711,0.460822605619565,91.94,1967.21378340366,4025,1495.74883384564,1398689,0.9460836432601,84,0.412914514994454,29.872,23.2380952380952,34,4.74562334224737,1952,0.845355633418736,19,14,644,0,331,711,0,53,84,84
